时间戳	步数	特征1_贯入度	特征2_推进区间的压力（上）	特征3_推进区间的压力（右）	特征4_推进区间的压力（下）	特征5_推进区间的压力（左）	特征6_土舱土压（右）	特征7_土舱土压（右下）	特征8_土舱土压（左）	特征9_土舱土压（左下）	特征10_No.16推进千斤顶速度	特征11_No.4推进千斤顶速度	特征12_No.8推进千斤顶速度	特征13_No.12推进千斤顶速度	特征14_推进油缸总推力	特征15_No.16推进千斤顶行程	特征16_No.4推进千斤顶行程	特征17_No.8推进千斤顶行程	特征18_No.12推进千斤顶行程	特征19_推进平均速度	特征20_刀盘转速	特征21_刀盘扭矩	特征22_No.1刀盘电机扭矩	特征23_No.2刀盘电机扭矩	特征24_No.3刀盘电机扭矩	特征25_No.4刀盘电机扭矩	特征26_No.5刀盘电机扭矩	特征27_No.6刀盘电机扭矩	特征28_No.7刀盘电机扭矩	特征29_No.8刀盘电机扭矩	特征30_No.9刀盘电机扭矩	特征31_No.10刀盘电机扭矩
2025-09-23 20:12:27	1	6.200000	0.000000	0.800000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	527.000000	554.000000	558.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
2025-09-23 20:12:27	2	6.200000	0.000000	0.800000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	527.000000	554.000000	557.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
2025-09-23 20:12:27	3	6.200000	0.000000	0.900000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	526.000000	554.000000	557.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
2025-09-23 20:12:27	4	6.200000	0.000000	0.800000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	527.000000	554.000000	558.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
2025-09-23 20:12:27	5	6.200000	0.000000	0.800000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	527.000000	554.000000	558.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
2025-09-23 20:13:12	6	6.200000	0.000000	0.800000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	526.000000	554.000000	558.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
2025-09-23 20:14:12	7	559.305532	6.444530	29.037602	17.895218	27.896662	0.173470	0.138580	0.167255	0.194362	27.291013	53.672419	72.394382	69.566896	5219.174725	872.595426	1240.049838	1478.917335	988.031224	35.599885	0.757628	5760.399195	0.437165	54.452011	28.464540	46.242685	63.963849	39.958527	42.551992	14.133653	26.455734	1.134826
2025-09-23 20:15:12	8	6.200000	0.000000	0.800000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	527.000000	554.000000	557.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
2025-09-23 20:16:12	9	6.200000	0.000000	0.800000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	526.000000	554.000000	558.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
2025-09-23 20:17:12	10	6.200000	0.000000	0.800000	0.000000	0.000000	0.250000	0.240000	0.220000	0.230000	0.000000	0.000000	0.000000	0.000000	0.000000	548.000000	526.000000	555.000000	558.000000	29.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	37.000000
