model,seq_len,pred_len,MSE,MAE,RMSE,MAPE,R2,model_size_params,model_size_mb,inference_time_ms,batch_inference_time_ms,memory_usage_mb,training_time_s
Transformer,6,1,0.08405428096929467,0.13240690571174393,0.28992116336910395,468767.6926344373,0.8863059715532955,104160,0.3973388671875,0.4734190000090166,48.60749999716063,484.3828125,79.89500639999824
Transformer,6,6,0.21435635531627426,0.2599986081303803,0.462986344632619,278836.77277902263,0.7096997003602545,114560,0.43701171875,0.5698239999765065,48.61439999876893,534.52734375,82.38945289999901
Transformer,6,120,0.7556084267755045,0.5804008481100102,0.8692573996092898,266141.97201425803,-0.04147779682855779,351680,1.341552734375,0.6082429999878514,62.24339999971562,1439.24609375,93.59168069999942
Transformer,6,360,0.82660254548625,0.6727890437097555,0.9091768505006328,85406.24942990187,-0.1289593711873076,850880,3.245849609375,0.6803930000023684,84.65349999823957,3425.046875,120.09818079999968
Transformer,30,1,0.08256155273701954,0.13162497390978903,0.2873352619102284,137934.4160477534,0.8884245572252186,104160,0.3973388671875,0.6910770000104094,305.06360000072164,1175.484375,163.45506960000057
Transformer,30,6,0.2292550120096345,0.26618511212811813,0.47880581868815514,288209.8076793382,0.6897934501697254,114560,0.43701171875,0.6460950000109733,299.75199999898905,1213.5703125,156.0018855999988
Transformer,30,120,0.7499094576085192,0.5808057425488138,0.8659731275325576,158620.66096139912,-0.03316836959160785,351680,1.341552734375,0.6141240000215475,293.7615000009828,1979.234375,164.40660750000097
Transformer,30,360,0.8164739700601441,0.6548235317956324,0.9035894920040538,78712.10764292916,-0.11509233709922873,850880,3.245849609375,0.7070010000097682,337.5425999984145,3702.7421875,189.34995320000235
Transformer,60,1,0.08236640629844127,0.12879801818816752,0.2869954813205972,54791.1428657742,0.8887619068122751,104160,0.3973388671875,0.8272170000054757,707.2329000002355,1443.2578125,251.42977650000103
Transformer,60,6,0.23327495967290796,0.2669437505418785,0.48298546528121106,262308.7135081168,0.6845985670851269,114560,0.43701171875,0.6753799999933108,660.6174999978975,1462.7578125,252.81964439999865
Transformer,60,120,0.8734699820320719,0.6179928901918395,0.934596159863752,183781.94734022822,-0.20277122508698642,351680,1.341552734375,0.6460150000202702,701.0086000009323,2239.79296875,260.5696455000034
Transformer,60,360,0.912191530097291,0.6996612929621665,0.9550871845529554,98782.88922283887,-0.24583544815233083,850880,3.245849609375,0.7351300000300398,768.7795000019833,3820.26171875,285.10522549999587
Transformer,120,1,0.07995537057691365,0.1308308278894691,0.28276380704912296,47282.52742111421,0.8920104112604325,104160,0.3973388671875,1.6686099999787984,1970.9801000062726,2507.98828125,528.5649371000036
Transformer,120,6,0.22405376702573418,0.2530489599438034,0.4733431810280298,219840.30641687213,0.6970169739328245,114560,0.43701171875,1.2057990000175778,2161.502000002656,1776.78515625,545.8359805
Transformer,120,120,0.6510873972450715,0.5470305985190699,0.8068998681652336,145527.97183945458,0.10409321218485845,351680,1.341552734375,0.8864059999905294,2334.719700003916,2524.2421875,561.141632699997
Transformer,120,360,0.8588104545212595,0.6824107492163942,0.9267202676758826,89132.20684317785,-0.17331147311819795,850880,3.245849609375,0.9866999999940161,2433.1728000033763,4338.84375,625.5449284999995
Transformer,360,1,0.08587130959030811,0.14847000913991704,0.2930380685001662,237184.890862057,0.8837122299969807,104160,0.3973388671875,1.7827080000279238,10730.027600002359,3106.515625,3717.909116900002
Transformer,360,6,0.25887737728046484,0.2881531398519532,0.508799938365233,563068.6403158751,0.6491016627033819,114560,0.43701171875,1.9413640000129817,11006.334500001685,3120.07421875,3677.8757288999986
Transformer,360,120,0.8423703005837773,0.6256356335748684,0.9178073330409696,197254.84093849352,-0.1583735496875487,351680,1.341552734375,1.6160160000436008,5926.091400004225,3903.41796875,3725.360862200003
Transformer,360,360,1.056496240504814,0.7580391409846052,1.0278600296269984,106682.73755042934,-0.44678318279810636,850880,3.245849609375,3.682542000024114,14488.757699997223,4104.34375,3764.200397200002
